player_name,total_giveaways,mean_above_expected
Chandler Stephenson,54,0.010671953104079332
Charle-Edouard D'Astous,60,-0.004843067688896585
Charles Alexis Legault,13,-0.02594580078811354
Charlie Coyle,46,-0.009023277016255942
Charlie McAvoy,75,0.0018154616053780237
Chris Kreider,59,-0.0027952368627837533
Chris Tanev,7,0.009245919164366826
Christian Dvorak,52,0.0019848793726463293
Claude Giroux,38,0.005480057997082947
Clayton Keller,82,0.0016681374836644927
Cody Ceci,60,-0.009924972639754106
Cody Glass,34,0.00040542634414623074
Cole Caufield,48,-0.0037754989477483147
Cole Hutson,13,-0.020743540820126742
Cole Koepke,25,0.005632956542410068
Cole McWard,3,0.024811866828297627
Cole O'Hara,2,0.011349500442317096
Cole Perfetti,49,0.006962111390177498
Cole Reinhardt,28,0.013155496334932706
Cole Schwindt,8,0.014968226732755809
Cole Sillinger,56,0.0025672550576615904
Cole Smith,20,0.006510580153179948
Colin Blackwell,25,-0.00028919491793586127
Colin Miller,13,-0.0076997202248378135
Collin Graf,50,0.00011195011933766056
Colton Dach,28,-0.00474128685952322
Colton Parayko,78,-0.00813269354293165
Colton Sissons,27,0.004872635315384477
Colton White,21,0.0035107074380753187
Connor Bedard,62,0.001294009078871403
Connor Brown,50,-0.0003909504811042951
Connor Clattenburg,4,-0.0046317563887900755
Connor Clifton,32,0.009197126713245551
Connor Dewar,27,-0.006034580826826776
Connor Mackey,3,0.022216481691555906
Connor McDavid,109,-0.0026637451503462857
Connor McMichael,50,-0.00905579803268223
Connor Murphy,61,-0.0010002948907791198
Connor Zary,36,-0.006893672422239569
Conor Garland,63,0.006800349725573034
Conor Geekie,10,-0.005417110938030823
Conor Sheary,41,0.010592560859715732
Conor Timmins,41,-0.002534704947239915
Corey Perry,37,-0.007226821336764592
Curtis Douglas,18,0.009523848565113785
Curtis Lazar,9,0.01387579251128533
Cutter Gauthier,63,0.003477350740176143
Daemon Hunt,13,0.002929579400506232
Dakota Joshua,17,0.0078079396010944475
Dakota Mermis,8,0.004886354654030727
Dalibor Dvorsky,44,-0.008153821400604696
Damon Severson,79,0.004599327999074481
Daniil But,18,0.0043159020818788136
Daniil Miromanov,1,0.02979932090095981
Danil Zhilkin,1,-0.006843065248987069
Danila Yurov,42,-0.00626860520146814
Dante Fabbro,56,-0.01046260290266229
Danton Heinen,21,0.006787477545967308
Darnell Nurse,83,-0.0058963163590560865
Darren Raddysh,60,-0.0005828643186279804
David Jiricek,23,0.004739476978490344
David Kampf,16,-8.585904598835633e-05
David Pastrnak,110,-0.00017875452474396195
David Perron,30,0.005712032703518589
David Reinbacher,2,0.01691817541764259
David Spacek,1,0.02674639623202288
David Tomasek,11,-0.017040989391630033
Dawson Mercer,70,-0.0067818260332362735
Declan Carlile,22,-0.010056179881654258
Declan Chisholm,27,-0.012149380546017354
Dennis Cholowski,18,0.02146690734992834
Dennis Gilbert,6,0.004567375576319345
Denton Mateychuk,74,0.009359483021907793
Denver Barkey,26,-0.008852851228023274
Derek Forbort,5,0.01852721497301123
Devon Toews,53,0.009094130952421498
Dmitri Simashev,30,-0.0008296445783898987
Dmitri Voronkov,32,-0.015956576829949557
Dmitry Kulikov,17,-0.00601829778048301
Dmitry Orlov,95,-0.005601149140562739
Dominic James,39,0.002732598380436936
Dominic Toninato,2,0.010020395949834447
Dominik Shine,8,-0.00421977114887484
Donovan Sebrango,27,-0.015164172262620805
Dougie Hamilton,101,0.00463254601079795
Drake Batherson,44,0.004024254192158756
Drew Doughty,73,-0.003677813408386732
Drew Fortescue,5,0.01616723757516523
Drew Helleson,41,-0.0205731244725845
Drew O'Connor,58,-0.0023117074781263567
Dryden Hunt,3,-0.0021696827288623845
Dylan Coghlan,2,0.020118770237124085
